x,h,j
0.,0.,0.
1.e-10,-1.6666666666666668e-21,-1.0000000000000001e-21
1.0026175526463075e-10,-1.675403261457452e-21,-1.0052419568744712e-21
1.005241956874467e-10,-1.6841856531013464e-21,-1.010511391860808e-21
1.0078732306188631e-10,-1.6930140816635068e-21,-1.015808448998104e-21
1.010511391860812e-10,-1.7018887884674592e-21,-1.0211332730804758e-21
1.013156458628697e-10,-1.7108100161017374e-21,-1.0264860096610426e-21
1.015808448998104e-10,-1.719778008426556e-21,-1.0318668050559337e-21
1.0184673810919163e-10,-1.728793010580378e-21,-1.0372758063482268e-21
1.0211332730804714e-10,-1.7378552689867274e-21,-1.0427131613920365e-21
1.0238061431816558e-10,-1.7469650313608283e-21,-1.048179018816497e-21
1.0264860096610426e-10,-1.7561225467164168e-21,-1.05367352802985e-21
1.0291728908320285e-10,-1.7653280653725906e-21,-1.0591968392235544e-21
1.0318668050559338e-10,-1.7745818389605675e-21,-1.0647491033763407e-21
1.0345677707421405e-10,-1.7838841204306038e-21,-1.0703304722583624e-21
1.0372758063482311e-10,-1.793235164058955e-21,-1.0759410984353732e-21
1.0399909303800886e-10,-1.802635225454737e-21,-1.0815811352728424e-21
1.0427131613920366e-10,-1.8120845615669587e-21,-1.0872507369401753e-21
1.045442517986978e-10,-1.821583430691588e-21,-1.0929500584149528e-21
1.0481790188164928e-10,-1.8311320924785092e-21,-1.0986792554871057e-21
1.050922682581e-10,-1.840730807938742e-21,-1.1044384847632454e-21
1.0536735280298544e-10,-1.850379839451467e-21,-1.1102279036708804e-21
1.0564315739614887e-10,-1.8600794507712472e-21,-1.1160476704627484e-21
1.0591968392235544e-10,-1.86982990703528e-21,-1.1218979442211684e-21
1.0619693427130245e-10,-1.8796314747705554e-21,-1.1277788848623335e-21
1.064749103376336e-10,-1.8894844219011857e-21,-1.1336906531407115e-21
1.0675361402095323e-10,-1.899389017755777e-21,-1.1396334106534663e-21
1.0703304722583667e-10,-1.9093455330746968e-21,-1.1456073198448184e-21
1.0731321186184457e-10,-1.919354240017523e-21,-1.151612544010514e-21
1.075941098435373e-10,-1.929415412170528e-21,-1.157649247302317e-21
1.0787574309048491e-10,-1.9395293245540504e-21,-1.1637175947324303e-21
1.081581135272838e-10,-1.9496962536301347e-21,-1.169817752178081e-21
1.0844122308356677e-10,-1.959916477309982e-21,-1.1759498863859894e-21
1.0872507369401752e-10,-1.9701902749615903e-21,-1.1821141649769542e-21
1.0900966729838528e-10,-1.9805179274174413e-21,-1.188310756450465e-21
1.0929500584149526e-10,-1.9908997169820804e-21,-1.1945398301892485e-21
1.0958109127326342e-10,-2.001335927439881e-21,-1.200801556463929e-21
1.0986792554871101e-10,-2.011826844062851e-21,-1.2070961064377108e-21
1.101555106279749e-10,-2.0223727536183148e-21,-1.2134236521709891e-21
1.104438484763245e-10,-2.0329739443768877e-21,-1.2197843666261328e-21
